matrix,algo,cost,real_ns,cpu_ns
30_random_adj_mat_4.txt,rrnn,5.108874232608546,128770300,109375000
30_random_adj_mat_5.txt,nn,7.040016676142321,42446,41562
30_random_adj_mat_5.txt,nn2,7.010822066675918,60150,59375
30_random_adj_mat_5.txt,rrnn,5.321437917916536,111380400,109375000
30_random_adj_mat_6.txt,nn,5.778464506439794,44083,43750
30_random_adj_mat_6.txt,nn2,5.734152731315683,66839,65625
30_random_adj_mat_6.txt,rrnn,4.804786452601907,127349900,125000000
30_random_adj_mat_7.txt,nn,5.703570743430549,42059,42187
30_random_adj_mat_7.txt,nn2,5.6410637694409616,94105,92500
30_random_adj_mat_7.txt,rrnn,5.122617454037603,119208100,125000000
30_random_adj_mat_8.txt,nn,5.393178476557452,42291,42187
30_random_adj_mat_8.txt,nn2,5.351055506594095,62019,60937
30_random_adj_mat_8.txt,rrnn,5.078694141562011,118762600,125000000
30_random_adj_mat_9.txt,nn,5.613270358453305,41986,42812
30_random_adj_mat_9.txt,nn2,5.576491230629507,53590,52500
30_random_adj_mat_9.txt,rrnn,4.799572304375962,127473800,125000000
