matrix,algo,cost,real_ns,cpu_ns
30_random_adj_mat_0.txt,hc,5.026064443528147,2519449200,2515625000
30_random_adj_mat_0.txt,sa,5.61908644371246,12391069300,12359375000
30_random_adj_mat_0.txt,ga,5.372356091102142,1067197400,1046875000
30_random_adj_mat_1.txt,hc,4.9939580622109965,2439018600,2453125000
30_random_adj_mat_1.txt,sa,5.656083643149148,12477624600,12437500000
30_random_adj_mat_1.txt,ga,5.951299366416178,1050336800,1062500000
30_random_adj_mat_2.txt,hc,5.225310095470833,2459521300,2453125000
30_random_adj_mat_2.txt,sa,5.409362217465228,12313025500,12218750000
30_random_adj_mat_2.txt,ga,5.846812390940229,1075816500,1046875000
30_random_adj_mat_3.txt,hc,5.364257063777072,2526605100,2531250000
30_random_adj_mat_3.txt,sa,6.307832235335538,12815303000,12781250000
30_random_adj_mat_3.txt,ga,6.624457713265012,1044694500,1062500000
30_random_adj_mat_4.txt,hc,4.717118187205625,2599871400,2562500000
30_random_adj_mat_4.txt,sa,5.2217197612566295,12357524800,12265625000
30_random_adj_mat_4.txt,ga,5.9295083529241115,1061306700,1062500000
30_random_adj_mat_5.txt,hc,5.55641068141219,2372720500,2343750000
30_random_adj_mat_5.txt,sa,6.151266151355754,12324134000,12218750000
30_random_adj_mat_5.txt,ga,6.092006667166486,1050291000,1046875000
30_random_adj_mat_6.txt,hc,4.765132208473431,2458721800,2453125000
30_random_adj_mat_6.txt,sa,5.349863509291407,12195669300,12140625000
30_random_adj_mat_6.txt,ga,5.518908182992453,1038581400,1031250000
30_random_adj_mat_7.txt,hc,5.255581617618063,2538589000,2546875000
30_random_adj_mat_7.txt,sa,5.410485736360912,12366458000,12218750000
30_random_adj_mat_7.txt,ga,6.379689712886133,1063731000,1031250000
30_random_adj_mat_8.txt,hc,5.178361500728151,2458657600,2453125000
30_random_adj_mat_8.txt,sa,5.625665924728444,12340516900,12265625000
30_random_adj_mat_8.txt,ga,6.397947066523725,1064584800,1062500000
30_random_adj_mat_9.txt,hc,4.715061183463702,2609131800,2593750000
30_random_adj_mat_9.txt,sa,5.031199312518338,12337377100,12140625000
30_random_adj_mat_9.txt,ga,4.691256376372018,1067347000,1031250000
